year,sample_size,employment,members,covered,p_members,p_covered,facet
2016,165808,136131.88846326648,14549.6338494749,16264.573281383224,0.1068789511919021,0.1194765865802764,all wage and salary workers
2017,163781,137912.91188465228,14811.525050758448,16436.129358008435,0.1073976680636406,0.1191775947809219,all wage and salary workers
2018,159855,140129.22963046705,14740.188334283308,16374.391573574942,0.1051899641752243,0.1168520748615264,all wage and salary workers
2019,154727,141766.44663578368,14566.65681579167,16374.919705725026,0.1027510911226272,0.1155063137412071,all wage and salary workers
2020,133671,132205.2777124337,14250.23358911675,15935.814233016685,0.1077886894345283,0.1205384135246276,all wage and salary workers
2021,134177,136420.8239846426,14003.553250774989,15795.44258620002,0.1026496738195419,0.1157846897840499,all wage and salary workers
2022,129714,141698.4973142668,14280.076476591588,15995.893904383236,0.1007778942584991,0.11288683116436,all wage and salary workers
1973,3022,4661.476250000003,1774.9385500000017,,0.3807674646377563,,construction
1974,2831,4576.695809999984,1641.7893599999982,,0.3587280809879303,,construction
1975,2466,4058.825220000004,1434.975319999999,,0.3535445034503937,,construction
1976,2509,4189.345619999995,1457.4027000000024,,0.3478831350803375,,construction
1977,3278,4493.52873,1606.1850300000003,1701.5982900000013,0.357444018125534,0.3786775171756744,construction
1978,3428,4984.263270000005,1613.6895499999969,1712.6162499999978,0.3237568736076355,0.3436046838760376,construction
1979,3481,5093.91867999999,1660.0979199999986,1780.8180699999996,0.3258979916572571,0.3495968878269195,construction
1980,4037,4981.924879999991,1573.7972700000007,1651.3239700000013,0.3159014582633972,0.3314630389213562,construction
1981,878,4870.161759999999,1621.702000000001,1692.9198800000013,0.3329873085021972,0.347610592842102,construction
1983,9150,4609.241757500005,1292.6891500000008,1400.982342500001,0.2804559171199798,0.3039507269859314,construction
1984,9624,5013.734070833339,1216.8223225000024,1288.53813,0.2426978200674057,0.2570016980171203,construction
1985,9765,5211.791707499992,1202.6134924999965,1285.5006999999976,0.2307485789060592,0.2466523498296737,construction
1986,9840,5467.51455166667,1271.3549241666667,1358.731654166667,0.2325288653373718,0.2485099285840988,construction
1987,9911,5608.066830833351,1230.8489899999995,1320.909999166667,0.2194783091545105,0.2355374991893768,construction
1988,9516,5703.997629999972,1250.560970833336,1333.0189766666686,0.2192429006099701,0.233699083328247,construction
1989,9550,5797.627217500042,1320.462791666667,1402.407799166666,0.2277591675519943,0.2418934106826782,construction
1990,9874,5742.40884583332,1271.410928333331,1355.083781666667,0.2214072495698928,0.235978290438652,construction
1991,8741,5174.751924999989,1143.751998333333,1223.702674166667,0.2210254669189453,0.2364756166934967,construction
1992,8427,5113.401275833318,1086.579139166669,1159.0990900000022,0.2124963551759719,0.2266786843538284,construction
1993,8369,5194.0061258333335,1104.9050025000004,1162.4649308333342,0.2127269357442855,0.22380892932415,construction
1994,8331,5409.180655599991,1109.6981594499994,1173.2998426583338,0.2051508724689483,0.2169089764356613,construction
1995,8511,5658.43967994167,1071.580945933334,1151.1831222916671,0.1893774569034576,0.2034453302621841,construction
1996,7916,5873.975086933314,1157.562612400002,1214.7602648416685,0.1970663070678711,0.2068037837743759,construction
1997,8168,6201.273376091661,1222.9717978750011,1287.2687978500014,0.1972130089998245,0.2075813710689544,construction
1998,8432,6412.498714191655,1212.2880038333333,1266.903542916668,0.1890507936477661,0.1975678503513336,construction
1999,8884,6746.593027316655,1362.0036165166653,1416.0691379333307,0.2018802165985107,0.2098939567804336,construction
2000,9442,7156.892185933293,1389.7249756416652,1458.2859495249993,0.1941799521446228,0.2037596702575683,construction
2001,10287,7329.084929758351,1421.2248060500044,1475.4891423583374,0.1939157247543335,0.2013196945190429,construction
2002,10908,7174.026017208318,1346.3660955083324,1398.9853494999986,0.1876723170280456,0.1950070112943649,construction
2003,10943,7630.3523416583375,1335.2502809500006,1406.4237973250006,0.174991950392723,0.1843196451663971,construction
2004,11167,8051.401789574978,1273.359582966668,1347.0643693333357,0.1581537723541259,0.167308047413826,construction
2005,11712,8512.869187508308,1209.2028599916634,1280.6738105583297,0.1420440971851349,0.1504397392272949,construction
2006,12066,8877.175566883334,1246.5213527000012,1307.364265891668,0.1404186934232711,0.1472725421190261,construction
2007,11768,9002.463673633325,1358.5604470833314,1406.17170660833,0.1509098559617996,0.1561985462903976,construction
2008,10611,8088.7536850083325,1331.0737852416687,1386.5941044333345,0.1645585745573043,0.171422466635704,construction
2009,9331,7066.010495691685,1130.5084792666662,1180.0274729499988,0.1599924713373184,0.1670005321502685,construction
2010,8551,6549.962042233321,953.729268583332,1001.2844933583316,0.145608365535736,0.1528687477111816,construction
2011,8591,6658.914425533328,1012.5214803499993,1075.290430933332,0.1520550400018692,0.1614813357591629,construction
2012,8449,6599.784869758341,952.9438046833332,997.2359468833332,0.1443901360034942,0.1511012762784958,construction
2013,8710,6898.633575883359,1058.6371818833345,1119.313171141668,0.1534560620784759,0.1622514277696609,construction
2014,9193,7401.177656291663,1116.8385141333326,1184.0686702083335,0.1509001106023788,0.1599838137626648,construction
2015,9094,7492.975593008331,1049.5081486666666,1110.7018805250004,0.1400656104087829,0.148232415318489,construction
2016,9402,7839.588246541664,1149.7674959666674,1212.6890701250002,0.1466617137193679,0.1546878516674041,construction
2017,9522,8185.4970760000015,1218.155972450002,1281.6973383333343,0.1488188207149505,0.1565814912319183,construction
2018,9547,8534.270747216664,1163.6665303833315,1243.9116988333317,0.1363521963357925,0.1457548886537552,construction
2019,9406,8736.278610791676,1183.321799350001,1270.0962331083338,0.1354491859674453,0.1453818380832672,construction
2020,8054,8211.85801335834,1100.9076273916671,1168.11025265,0.1340631544589996,0.1422467678785324,construction
2021,8232,8558.78314419167,1144.566190450001,1238.769851808334,0.1337300091981887,0.1447366774082183,construction
2022,8092,9062.764185458376,1144.4183461249995,1211.0359254083326,0.1262769699096679,0.1336276531219482,construction
1973,13201,20249.101299999853,7866.6076099999955,,0.388491690158844,,manufacturing
1974,12954,20620.92266000019,7803.844470000015,,0.378443032503128,,manufacturing
1975,11464,18620.859139999902,6696.804070000021,,0.3596399128437042,,manufacturing
1976,11905,19645.756049999924,6990.84887,,0.3558452427387237,,manufacturing
1977,13408,20162.462260000066,7159.284359999988,7583.243619999991,0.3550798594951629,0.3761070072650909,manufacturing
1978,13227,20787.953629999975,7107.239720000009,7629.602700000006,0.3418922126293182,0.3670203685760498,manufacturing
1979,13488,21377.70786000006,7567.590589999995,8181.237869999992,0.3539944887161255,0.3826994895935058,manufacturing
1980,15134,20975.68239999998,6771.105249999991,7308.615379999992,0.3228074014186859,0.3484327793121338,manufacturing
1981,3450,21435.16727999999,6702.555440000009,7267.110400000011,0.3126896619796753,0.339027464389801,manufacturing
1983,35796,19223.1002,5353.695563333324,5875.927420000004,0.2785032391548157,0.3056701123714447,manufacturing
1984,37239,20361.61503249993,5297.896624999966,5792.186224999979,0.2601903975009918,0.2844659388065338,manufacturing
1985,37294,20278.616742499904,5034.657744999999,5471.562811666663,0.2482742220163345,0.2698193192481994,manufacturing
1986,36515,20442.024908333136,4909.557265000001,5282.107069166678,0.240169808268547,0.2583945095539093,manufacturing
1987,36020,20383.903668333365,4732.660490000008,5057.877664166682,0.2321763634681701,0.2481309622526168,manufacturing
1988,34040,20563.22465250002,4560.96125333333,4905.787955833338,0.2218018472194671,0.2385709434747696,manufacturing
1989,34531,20830.94635083319,4504.032254166695,4820.741665833355,0.2162183225154876,0.2314221113920211,manufacturing
1990,35279,20626.68878999977,4222.641395000012,4552.902311666679,0.2047173678874969,0.2207287102937698,manufacturing
1991,33442,19873.47674499988,4016.8239166666713,4327.709420000003,0.202119842171669,0.2177630811929702,manufacturing
1992,32038,19369.641618333277,3805.605865833335,4076.149803333338,0.1964727044105529,0.2104401290416717,manufacturing
1993,30772,18983.9392825,3628.39688083333,3857.6603658333297,0.1911298185586929,0.2032065242528915,manufacturing
1994,29999,19379.84149090012,3533.031436583342,3817.374562283335,0.1823044568300247,0.1969765573740005,manufacturing
1995,29475,19626.692284616714,3469.322948691672,3695.8353016500087,0.1767655462026596,0.1883065849542617,manufacturing
1996,25517,19736.86829405006,3411.8119625333397,3629.421855116668,0.1728649139404297,0.1838904619216919,manufacturing
1997,25814,20033.54412603326,3270.336563616665,3462.787391558334,0.1632430404424667,0.1728494614362716,manufacturing
1998,25385,19821.913808466765,3137.42708779166,3328.008268766664,0.1582807302474975,0.1678954064846038,manufacturing
1999,24855,19408.218161983277,3036.6934162416687,3226.594705541669,0.1564643085002899,0.1662488877773285,manufacturing
2000,24494,19230.107004358284,2842.495771383328,3011.465432283325,0.1478148698806762,0.1566015928983688,manufacturing
2001,24782,18220.793745866547,2678.6232203249947,2830.873468308328,0.1470091342926025,0.155364990234375,manufacturing
2002,25144,16994.72341132497,2444.5720803916674,2577.565373316667,0.1438430100679397,0.1516685634851455,manufacturing
2003,23001,16202.318447400045,2192.117484908336,2337.4293471416668,0.1352965384721756,0.1442651152610778,manufacturing
2004,22011,15810.203345300057,2052.1797560083364,2204.4635838750005,0.1298009753227234,0.1394329667091369,manufacturing
2005,21561,15596.473118024973,2033.955937850002,2148.400058641669,0.1304112672805786,0.1377490907907486,manufacturing
2006,21070,15725.13689985835,1850.4377829250025,1975.709749466668,0.1176738739013671,0.1256402283906936,manufacturing
2007,20392,15437.966829233326,1757.872314699997,1875.9086918083303,0.1138668283820152,0.1215126812458038,manufacturing
2008,19975,15239.03085417491,1746.1665071499986,1888.128487399999,0.1145851388573646,0.1239008232951164,manufacturing
2009,18053,13571.540357700089,1501.0570046166652,1630.8326396249995,0.1106032878160476,0.1201656237244606,manufacturing
2010,17645,13362.82743263334,1444.130082258333,1569.652343166667,0.1080706939101219,0.1174640879034996,manufacturing
2011,17645,13691.870806716595,1446.8577880333312,1546.9678951333326,0.1056727617979049,0.1129844039678573,manufacturing
2012,17904,14039.73576424998,1359.7375915583348,1494.3826487083345,0.0968492329120636,0.1064395159482956,manufacturing
2013,18021,14298.529152125056,1455.4905309666651,1585.070659774998,0.1017930209636688,0.1108555048704147,manufacturing
2014,17951,14552.859493383365,1420.8586792666672,1528.418438958334,0.0976343303918838,0.1050252988934516,manufacturing
2015,17512,14612.810977891484,1379.0250469499993,1476.8690944249984,0.09437096118927,0.1010667383670806,manufacturing
2016,17576,14887.470337591594,1320.909255258335,1451.346326875001,0.0887262374162674,0.0974877700209617,manufacturing
2017,17107,14756.948749008308,1349.440995258333,1484.409078508333,0.0914444476366043,0.1005905121564865,manufacturing
2018,16661,14951.704004983269,1358.9084365500028,1466.2557616750028,0.0908865258097648,0.0980661287903785,manufacturing
2019,16256,15179.892378491586,1306.7937747000012,1448.394136516667,0.0860871598124504,0.0954153090715408,manufacturing
2020,13799,13975.396361083314,1190.3263283666683,1301.0920974833325,0.0851729959249496,0.093098759651184,manufacturing
2021,13812,14246.942794541688,1105.5635820999998,1230.9207065416665,0.0776000544428825,0.0863989368081092,manufacturing
2022,13175,14696.464126458332,1161.4777742833328,1278.8243538833317,0.0790311023592948,0.0870157852768898,manufacturing
1973,9660,14788.861879999982,1781.6863700000013,,0.1204748824238777,,wholesale/retail
1974,9419,14992.844880000011,1715.3319199999974,,0.1144100353121757,,wholesale/retail
1975,9477,15392.992699999975,1636.843649999999,,0.1063369363546371,,wholesale/retail
1976,9733,16009.11076000002,1725.101050000001,,0.107757456600666,,wholesale/retail
1977,11753,16599.317280000025,1774.5137100000009,1924.7095300000003,0.1069028154015541,0.1159511283040046,wholesale/retail
1978,11765,17230.564159999976,1701.399049999999,1896.6537099999996,0.0987430810928344,0.1100749596953392,wholesale/retail
1979,11734,17556.25995999996,1812.7939899999997,2028.59959,0.1032562777400016,0.1155485063791275,wholesale/retail
1980,13664,17400.556270000045,1752.767179999997,1896.4792299999967,0.1007305234670639,0.1089895740151405,wholesale/retail
1981,3128,18092.71507999997,1720.2332399999991,1950.47572,0.0950787812471389,0.1078044772148132,wholesale/retail
1983,35710,18166.891814999944,1590.5003966666677,1808.005875833336,0.0875493958592414,0.0995220243930816,wholesale/retail
1984,36411,18939.08805999984,1504.4194475000008,1683.734155833335,0.0794346332550048,0.0889026001095771,wholesale/retail
1985,37111,19508.26939249985,1412.169721666667,1568.2310350000034,0.0723882615566253,0.0803880169987678,wholesale/retail
1986,36756,19948.26441583335,1439.267538333332,1571.3254041666648,0.0721500143408775,0.0787700340151786,wholesale/retail
1987,37252,20514.30833749989,1452.138651666666,1588.152345833332,0.0707866251468658,0.0774168148636818,wholesale/retail
1988,35368,20689.960143333497,1396.958593333333,1575.1987874999982,0.0675186663866043,0.076133482158184,wholesale/retail
1989,36268,21240.939819166502,1332.6112774999965,1492.7245883333308,0.0627378672361373,0.0702758282423019,wholesale/retail
1990,37862,21739.320243333477,1369.5762833333322,1535.0099799999996,0.0629999563097953,0.0706098452210426,wholesale/retail
1991,36720,21490.572896666763,1437.8371724999977,1591.4901999999986,0.0669054836034774,0.0740552693605423,wholesale/retail
1992,36435,21844.805656666693,1440.892930833331,1589.6648058333296,0.0659604370594024,0.0727708339691162,wholesale/retail
1993,36078,22132.16480583329,1396.2651099999994,1538.633972500001,0.063087597489357,0.0695202648639679,wholesale/retail
1994,35071,22408.512422266667,1391.9415576666663,1538.9761823750002,0.0621166415512561,0.0686781927943229,wholesale/retail
1995,35348,23128.41803000848,1410.4954030583335,1567.1729260416666,0.0609853826463222,0.0677596256136894,wholesale/retail
1996,32005,23751.08995966674,1343.2013592416686,1489.3962692750015,0.0565532520413398,0.0627085417509079,wholesale/retail
1997,31960,23772.73230037507,1329.4322757833324,1486.8014663416643,0.0559225678443908,0.0625423043966293,wholesale/retail
1998,32584,24354.37518885819,1295.1576787083338,1404.7516254583345,0.053179670125246,0.0576796419918537,wholesale/retail
1999,32924,24771.673292708278,1290.9804332416695,1421.069687016667,0.052115187048912,0.0573667213320732,wholesale/retail
2000,33339,25231.254586166604,1209.3044045166678,1333.456815250002,0.0479288250207901,0.0528494045138359,wholesale/retail
2001,35360,25191.978534191385,1187.4384613583336,1301.2605406583343,0.0471355766057968,0.0516537651419639,wholesale/retail
2002,38057,25204.74632513333,1143.754673449998,1260.510169674999,0.0453785434365272,0.0500108264386653,wholesale/retail
2003,27201,18420.33771262511,1136.6692206416642,1220.1364042166665,0.0617072954773902,0.0662385448813438,wholesale/retail
2004,26986,18847.23407609161,1041.0394654833328,1122.068318925,0.0552356615662574,0.0595349073410034,wholesale/retail
2005,27029,19100.58486995007,1037.8050236166666,1145.8234171583335,0.0543336793780326,0.0599889196455478,wholesale/retail
2006,26641,19349.429301225115,967.54515815,1038.862439325,0.050003807991743,0.0536895655095577,wholesale/retail
2007,25742,18998.779018999925,1000.3928699583334,1087.712032325,0.052655640989542,0.0572516806423664,wholesale/retail
2008,25298,18748.525090575065,987.7871619250008,1111.363100291668,0.0526861250400543,0.0592773631215095,wholesale/retail
2009,24331,17953.0763219917,947.0783703583338,1042.407326841668,0.0527529865503311,0.0580628812313079,wholesale/retail
2010,24022,17914.27101167485,876.9687320249994,970.477095608333,0.0489536374807357,0.0541734062135219,wholesale/retail
2011,23592,18118.15595654986,874.7654878083353,975.6705642000018,0.048281155526638,0.0538504347205162,wholesale/retail
2012,23486,18312.58499311657,872.1632992249987,978.8253269999994,0.0476264432072639,0.0534509643912315,wholesale/retail
2013,23042,18117.177904816777,848.490662333334,937.976346300001,0.0468334890902042,0.0517727620899677,wholesale/retail
2014,23174,18498.375816824984,782.200092116667,910.2309605500004,0.0422847978770732,0.0492059923708438,wholesale/retail
2015,22976,18925.981530425088,886.8342371833347,981.2402043500008,0.0468580313026905,0.0518461987376213,wholesale/retail
2016,22476,18625.01331693344,792.2360187583333,899.6112152166664,0.0425361320376396,0.048301238566637,wholesale/retail
2017,22127,18899.219341108223,849.317338625001,952.464347750001,0.0449392832815647,0.0503970198333263,wholesale/retail
2018,21271,18824.275420099944,819.5648495249984,942.3577278916654,0.0435376577079296,0.0500607714056968,wholesale/retail
2019,19841,18209.5841456583,751.4355384916664,873.5823327583332,0.0412659347057342,0.0479737669229507,wholesale/retail
2020,17598,17508.91448110011,799.5702801000012,887.7085040250003,0.045666467398405,0.0507003739476203,wholesale/retail
2021,17849,18170.75404659994,783.1472315166676,894.3919342333342,0.0430993251502513,0.0492215082049369,wholesale/retail
2022,16499,17980.17516885012,748.7245131500003,867.4543900999992,0.0416416712105274,0.048245046287775,wholesale/retail
1973,3828,5949.248169999989,3046.09271,,0.5120130777359009,,"transportation, communication, and utilities"
1974,3829,6195.520809999991,3125.652850000001,,0.5045020580291748,,"transportation, communication, and utilities"
1975,3628,5940.543310000009,2926.5011600000053,,0.4926319122314453,,"transportation, communication, and utilities"
1976,3590,5978.766319999991,2954.373260000001,,0.4941442906856537,,"transportation, communication, and utilities"
1977,4344,6146.722860000004,3094.99053,3362.187440000003,0.50351881980896,0.5469886064529419,"transportation, communication, and utilities"
1978,4388,6485.3975900000005,3248.28193,3487.8361199999995,0.500860869884491,0.5377983450889587,"transportation, communication, and utilities"
1979,4519,6706.249190000031,3428.9389999999885,3684.927969999989,0.511305034160614,0.5494767427444458,"transportation, communication, and utilities"
1980,5310,6739.477930000004,3412.675169999991,3682.5831899999903,0.5063708424568176,0.5464196801185608,"transportation, communication, and utilities"
1981,1165,6839.207680000003,3140.0564000000013,3372.40916,0.4591257572174072,0.4930993914604187,"transportation, communication, and utilities"
1983,12986,6536.074685833351,3033.9694708333354,3330.571549166672,0.4641883075237274,0.5095675587654114,"transportation, communication, and utilities"
1984,13212,6930.175616666669,2984.0517208333267,3276.714840833325,0.4305881857872009,0.4728184342384338,"transportation, communication, and utilities"
1985,13537,7106.718934999985,2961.840845833344,3210.70769666668,0.4167662858963012,0.4517848193645477,"transportation, communication, and utilities"
1986,13251,7208.365750833329,2936.0583233333277,3192.184686666661,0.4073126316070556,0.4428444504737854,"transportation, communication, and utilities"
1987,13364,7411.593137499978,2914.349985833332,3170.154255,0.3932150602340698,0.4277291297912597,"transportation, communication, and utilities"
1988,12942,7642.650475833294,2967.59481,3198.097620000001,0.3882939219474792,0.4184539914131164,"transportation, communication, and utilities"
1989,13045,7691.804038333324,2870.329421666673,3109.339900833344,0.3731672465801239,0.4042406678199768,"transportation, communication, and utilities"
1990,13638,7733.5059491666525,2914.7005133333137,3165.960254999984,0.3768925070762634,0.4093822836875915,"transportation, communication, and utilities"
1991,13344,7714.723824166626,2869.587099166664,3095.869614999997,0.3719623982906341,0.4012936353683471,"transportation, communication, and utilities"
1992,13102,7836.942124999983,2855.6902808333293,3076.5643874999982,0.3643883466720581,0.3925720453262329,"transportation, communication, and utilities"
1993,12953,7995.187233333349,2880.907922499991,3097.8728699999924,0.3603302538394928,0.3874672055244446,"transportation, communication, and utilities"
1994,12680,8143.639443075008,2846.7475487083457,3077.932068008345,0.3495669960975647,0.3779553472995758,"transportation, communication, and utilities"
1995,12444,8140.79583065003,2770.1221849416656,2974.013195675,0.3402765691280365,0.3653221726417541,"transportation, communication, and utilities"
1996,10984,8180.536827858301,2692.294469933333,2888.947340749997,0.3291097581386566,0.353148877620697,"transportation, communication, and utilities"
1997,11369,8524.40247422501,2736.1384810916675,2921.4454146333346,0.3209771513938904,0.3427155613899231,"transportation, communication, and utilities"
1998,11569,8767.401883941704,2794.728000516663,2951.1260986333264,0.3187635242938995,0.336602121591568,"transportation, communication, and utilities"
1999,11867,8943.990420708342,2795.037454516661,2966.776375899991,0.3125045299530029,0.3317061364650726,"transportation, communication, and utilities"
2000,12123,9162.997657616688,2755.696334175003,2919.993586983335,0.3007417917251587,0.3186722993850708,"transportation, communication, and utilities"
2001,12667,9038.084390241713,2707.773058574998,2862.637173899996,0.2995958924293518,0.3167305290699005,"transportation, communication, and utilities"
2002,13483,8958.743551091684,2651.097212158331,2815.1792860749943,0.2959228754043579,0.3142381906509399,"transportation, communication, and utilities"
2003,14324,9921.484531824992,2637.1049809999977,2806.9186379166704,0.2657974064350128,0.2829131782054901,"transportation, communication, and utilities"
2004,13626,9629.479237675005,2539.1022651333324,2707.2079264083345,0.2636801302433014,0.2811375260353088,"transportation, communication, and utilities"
2005,13770,9848.558481858305,2530.044633641673,2676.8628870916746,0.2568949162960052,0.2718025147914886,"transportation, communication, and utilities"
2006,13784,10127.604468666646,2492.0088696750054,2655.4096452500025,0.2460610419511795,0.2621952295303345,"transportation, communication, and utilities"
2007,13798,10400.137335158332,2449.9338901499955,2615.29313063333,0.2355674505233764,0.2514671683311462,"transportation, communication, and utilities"
2008,13620,10336.46099335837,2495.1485037833318,2663.499308066669,0.2413929253816604,0.2576799988746643,"transportation, communication, and utilities"
2009,12854,9622.595424399991,2248.5302094166664,2417.931937816665,0.2336719036102295,0.2512764930725097,"transportation, communication, and utilities"
2010,12651,9531.806711983334,2221.2530316750085,2370.1874150833432,0.2330358922481537,0.2486608773469925,"transportation, communication, and utilities"
2011,12453,9575.07756144165,2197.053716774999,2327.6304997250013,0.2294554412364959,0.2430925965309143,"transportation, communication, and utilities"
2012,12216,9551.203063975012,2158.65746380834,2315.903712025006,0.2260089665651321,0.2424724549055099,"transportation, communication, and utilities"
2013,12120,9682.54035314998,2115.2544381250027,2249.063273275,0.2184606939554214,0.232280284166336,"transportation, communication, and utilities"
2014,12304,9879.772375866598,2107.6404299500045,2240.373008966675,0.2133288383483886,0.2267636209726333,"transportation, communication, and utilities"
2015,11758,9725.21921367502,2023.481749758336,2172.103794758337,0.2080654054880142,0.2233475446701049,"transportation, communication, and utilities"
2016,11877,9941.254215008315,2081.343924566666,2259.5035407083355,0.2093643248081207,0.2272855639457702,"transportation, communication, and utilities"
2017,11814,10198.854711516651,2113.4168473916675,2261.057389716666,0.2072210013866424,0.2216971814632415,"transportation, communication, and utilities"
2018,11673,10519.117742650003,2112.9320526583338,2241.8746739083317,0.2008658945560455,0.2131238281726837,"transportation, communication, and utilities"
2019,11130,10574.352113141686,2081.083251699996,2247.1484900749992,0.1968048065900802,0.2125093340873718,"transportation, communication, and utilities"
2020,9888,10006.268723724996,2017.1679781083376,2166.4373572416707,0.201590433716774,0.2165080159902572,"transportation, communication, and utilities"
2021,10218,10827.577315575014,1990.2156223750007,2160.215437349997,0.1838098764419555,0.1995104998350143,"transportation, communication, and utilities"
2022,10081,11469.654791691695,2048.1721121416667,2182.954420766665,0.1785731315612793,0.1903243362903595,"transportation, communication, and utilities"
1973,2659,4105.06821,180.6432599999999,,0.0440049357712268,,"finance, insurance, and real estate"
1974,2633,4193.400749999992,164.80030999999997,,0.0392999202013015,,"finance, insurance, and real estate"
1975,2605,4259.231459999996,167.45157999999998,,0.0393149740993976,,"finance, insurance, and real estate"
1976,2647,4365.490259999996,169.7360500000001,,0.0388813242316246,,"finance, insurance, and real estate"
1977,3106,4481.730890000003,233.26736000000005,275.1284600000001,0.0520484969019889,0.0613888837397098,"finance, insurance, and real estate"
1978,3153,4756.746940000001,240.22279999999995,294.42117999999994,0.0505014881491661,0.0618954896926879,"finance, insurance, and real estate"
1979,3311,5053.508439999999,242.9573499999999,311.34281999999985,0.0480769649147987,0.0616092421114444,"finance, insurance, and real estate"
